opeid,name,address,city,state,zip,number_of_defaults,number_of_loans,default_rate
12092,KENNETH SHULER SCHOOL OF COSMETOLOGY                             ,2383 CHERRY ROAD                                  ,ROCK HILL           ,SC,29732,20,214,9.3
12105,NATIONAL PARK COLLEGE                                            ,101 COLLEGE DRIVE                                 ,HOT SPRINGS         ,AR,71913,213,1106,19.2
12123,"UNIVERSITY OF PUERTO RICO, AGUADILLA REGIONAL COLLEGE            ",CALLE NORTH EAST                   BASE RAMEY     ,AGUADILLA           ,PR,604,10,162,6.1
12136,UNIVERSITY OF MANCHESTER (THE)                                   ,OXFORD ROAD                                       ,MANCHESTER          ,FC,M13  ,4,66,6
12154,CALIFORNIA INSTITUTE OF INTEGRAL STUDIES                         ,1453 MISSION STREET                               ,SAN FRANCISCO       ,CA,94103,12,507,2.3
12165,ATLANTA METROPOLITAN  STATE COLLEGE                              ,"1630 METROPOLITAN PARKWAY, S.W.                   ",ATLANTA             ,GA,30310,161,960,16.7
12182,CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE                           ,2602 COLLEGE DRIVE                                ,PHENIX CITY         ,AL,36869,29,182,15.9
12187,BLACKSTONE VALLEY VOCATIONAL REGIONAL SCHOOL DISTRICT            ,65 PLEASANT STREET                                ,UPTON               ,MA,1568,1,20,5
12203,MEMORIAL COLLEGE OF NURSING                                      ,600 NORTHERN BOULEVARD                            ,ALBANY              ,NY,12204,2,54,3.7
12206,JAMES COOK UNIVERSITY                                            ,DOUGLAS CAMPUS                                    ,TOWNSVILLE          ,FC,4811,1,31,3.2
12215,BIRMINGHAM CITY UNIVERSITY                                       ,UNIVERSITY HOUSE                   BARTHOLOMEW ROW,BIRMINGHAM          ,FC,B5 5J,0,25,0
12223,JAGIELLONIAN UNIVERSITY MEDICAL COLLEGE                          ,UL. SW. ANNY 12                                   ,KRAKOW              ,FC,31-00,2,42,4.7
12248,CENTRAL SCHOOL OF PRACTICAL NURSING                              ,"4700 ROCKSIDE ROAD, SUITE 250      SUMMIT OFFICE P",INDEPENDENCE        ,OH,44131,4,72,5.5
12260,EAST ARKANSAS COMMUNITY COLLEGE                                  ,1700 NEWCASTLE ROAD                               ,FORREST CITY        ,AR,72335,23,94,24.4
12261,NORTH ARKANSAS COLLEGE                                           ,1515 PIONEER DRIVE                                ,HARRISON            ,AR,72601,103,440,23.4
12275,UNIVERSITY OF OXFORD - WOLFSON COLLEGE                           ,LINTON ROAD                                       ,OXFORD              ,FC,OX2  ,1,37,2.7
12277,NEW YORK CHIROPRACTIC COLLEGE                                    ,2360 STATE ROUTE 89                               ,SENECA FALLS        ,NY,13148,1,184,0.5
12293,VEEB NASSAU COUNTY SCHOOL OF PRACTICAL NURSING                   ,30 EAST CHERRY STREET                             ,HICKSVILLE          ,NY,11801,25,153,16.3
12295,JZ TREND ACADEMY PAUL MITCHELL PARTNER SCHOOL                    ,1320 TACOMA AVENUE                                ,BISMARCK            ,ND,58504,7,41,17
12300,PALMER COLLEGE OF CHIROPRACTIC                                   ,1000 BRADY STREET                                 ,DAVENPORT           ,IA,52803,16,703,2.2
12309,UNIVERSITY OF WESTERN STATES                                     ,2900 NORTHEAST 132ND AVENUE                       ,PORTLAND            ,OR,97230,4,198,2
12315,CORNISH COLLEGE OF THE ARTS                                      ,1000 LENORA STREET                                ,SEATTLE             ,WA,98121,8,244,3.2
12328,NORTHWESTERN HEALTH SCIENCES UNIVERSITY                          ,2501 WEST 84TH STREET                             ,BLOOMINGTON         ,MN,55431,8,260,3
12347,PHAGANS' CENTRAL OREGON BEAUTY COLLEGE                           ,1310 NE CUSHING DRIVE                             ,BEND                ,OR,97701,7,97,7.2
12348,PHAGANS' BEAUTY COLLEGE                                          ,1565 SW 53RD STREET                               ,CORVALLIS           ,OR,97333,2,39,5.1
12350,PHAGANS' SCHOOL OF HAIR DESIGN                                   ,12000  SOUTHEAST 82ND AVENUE       SUITE #4010    ,HAPPY VALLEY        ,OR,97086,6,107,5.6
12351,PHAGANS' SCHOOL OF BEAUTY                                        ,622 LANCASTER DRIVE NORTH EAST                    ,SALEM               ,OR,97301,5,43,11.6
12358,PLAZA COLLEGE                                                    ,118-33 QUEENS BOULEVARD                           ,FOREST HILLS        ,NY,11375,1,643,0.1
12362,NORTHWESTERN COLLEGE                                             ,7725 SOUTH HARLEM AVENUE                          ,BRIDGEVIEW          ,IL,60455,219,1252,17.4
12364,ST. PAUL'S SCHOOL OF NURSING                                     ,97-77 QUEENS BOULEVARD                            ,REGO PARK           ,NY,11374,8,219,3.6
